area_id,area_name,depot_code,depot_name,status,source_rows
13209,町田市,SGM,相模原デポ SGM,OK,99
14101,横浜市鶴見区,YOK,横浜港北デポ YOK,OK,64
14102,横浜市神奈川区,YOK,横浜港北デポ YOK,OK,105
14103,横浜市西区,YOK,横浜港北デポ YOK,OK,248
14104,横浜市中区,YOK,横浜港北デポ YOK,OK,165
14105,横浜市南区,YOK,横浜港北デポ YOK,OK,66
14106,横浜市保土ケ谷区,YOK,横浜港北デポ YOK,OK,49
14107,横浜市磯子区,,,NO_DATA,0
14108,横浜市金沢区,,,NO_DATA,0
14109,横浜市港北区,YOK,横浜港北デポ YOK,OK,99
14110,横浜市戸塚区,FUJ,藤沢デポ FUJ,OK,54
14111,横浜市港南区,FUJ,藤沢デポ FUJ,OK,27
14112,横浜市旭区,YOK,横浜港北デポ YOK,OK,51
14113,横浜市緑区,YOK,横浜港北デポ YOK,OK,33
14114,横浜市瀬谷区,FUJ,藤沢デポ FUJ,OK,29
14115,横浜市栄区,FUJ,藤沢デポ FUJ,OK,47
14116,横浜市泉区,FUJ,藤沢デポ FUJ,OK,26
14117,横浜市青葉区,,,CONFLICT:SGM/YOK,66
14118,横浜市都筑区,YOK,横浜港北デポ YOK,OK,67
14131,川崎市川崎区,YOK,横浜港北デポ YOK,OK,129
14132,川崎市幸区,YOK,横浜港北デポ YOK,OK,60
14133,川崎市中原区,YOK,横浜港北デポ YOK,OK,64
14134,川崎市高津区,YOK,横浜港北デポ YOK,OK,54
14135,川崎市多摩区,YOK,横浜港北デポ YOK,OK,33
14136,川崎市宮前区,YOK,横浜港北デポ YOK,OK,38
14137,川崎市麻生区,SGM,相模原デポ SGM,OK,45
14152,相模原市中央区,SGM,相模原デポ SGM,OK,69
14153,相模原市南区,SGM,相模原デポ SGM,OK,49
14203,平塚市,FUJ,藤沢デポ FUJ,OK,126
14204,鎌倉市,FUJ,藤沢デポ FUJ,OK,54
14205,藤沢市,FUJ,藤沢デポ FUJ,OK,104
14207,茅ヶ崎市,FUJ,藤沢デポ FUJ,OK,73
14213,大和市,SGM,相模原デポ SGM,OK,33
14215,海老名市,SGM,相模原デポ SGM,OK,45
14216,座間市,SGM,相模原デポ SGM,OK,33
14218,綾瀬市,SGM,相模原デポ SGM,OK,32
